name,event,place,all_american,min,max,mean,std,median,q1,q3,mean_three_recent,mean_three_best,mean_three_worst,percent_diff_recent_best,percent_diff_recent_worst,no_mark_rate,count,grade,year,school,score
JUSTIN ROBINSON,400,18,0,0.935034305317324,0.962693156732892,0.9465615553711394,0.0074083743425401,0.946808510638298,0.9433268440406662,0.95052310374891,0.9465615553711394,0.9519755511896966,0.9375924776868172,0.0057033342143778,0.0095205355050143,0.0,13,FR,1,ARIZONA STATE,0.29166666666666663
STEVEN MCELROY,400,19,0,0.9100584307178632,0.956989247311828,0.9331353496025478,0.0151529847460062,0.9314402355939309,0.9246794581452756,0.9417481710463812,0.9331353496025478,0.9419006479481642,0.916082345320449,0.0093494720710067,0.018443479455034,0.0,10,FR,1,CINCINNATI,0.25
JOHNNIE BLOCKBURGER,400,20,0,0.9113897596656216,0.9753970029076268,0.9440933387506696,0.016142089121124,0.9447751017315578,0.9316386662725262,0.9563597871623136,0.9440933387506696,0.965036512502766,0.919823132122129,0.0219400202017125,0.0260421612318023,0.0,24,JR,3,USC,0.20833333333333337
MICHAEL PHILLIPPY,400,21,0,0.9110089826613746,0.949488351839756,0.9345630093669948,0.0114517652321037,0.9352391285861515,0.9319397532563576,0.9418558145670703,0.9345630093669948,0.9459869848156182,0.9191993647640668,0.0121496110009973,0.0165756353859859,0.0,12,SR,4,PRINCETON,0.16666666666666663
JOVAHN WILLIAMSON,400,22,0,0.8794111716071787,0.9607843137254902,0.9200980172635744,0.0207422327766266,0.9203334490991156,0.9103955354578336,0.9339345457344777,0.9200980172635744,0.9476314645806172,0.8807169295612863,0.0294833353381092,0.0437369622811311,0.0,32,JR,3,NEW MEXICO,0.125
DUBEM AMENE,400,23,0,0.9015918958031838,0.95825093386069,0.9317872476047946,0.0153190205597188,0.935034305317324,0.929654596192431,0.9404791514741118,0.9317872476047944,0.9466029954417192,0.9027752429296304,0.0157749412208352,0.031628254501936,0.0,23,SO,2,MICHIGAN,0.08333333333333337
GAMALI FELIX,400,24,0,0.8940139401394014,0.9652501106684374,0.926855647223912,0.0196743248428384,0.9336330550203382,0.9148311306901616,0.9419006479481642,0.926855647223912,0.943939393939394,0.8943195608574163,0.0182636219784489,0.0357308689708924,0.0,21,JR,3,ARIZONA STATE,0.04166666666666663
MOAD ZAHAFI,800,1,1,0.9646827992151732,0.99575658211978,0.976345871948434,0.0110116991404657,0.9719476607361388,0.9680292518282392,0.9866220735785952,0.976345871948434,0.9866220735785952,0.966460612838832,0.0104700656509213,0.0101762673606524,0.1818181818181818,11,SR,4,TEXAS TECH,1.0
NAVASKY ANDERSON,800,2,1,0.786786557951688,0.9831460674157304,0.9107984290284372,0.0474008685011762,0.9141627078799096,0.8834225035587528,0.942298479648072,0.9107984290284372,0.974608268831414,0.8121038183445429,0.0676881437574271,0.114567858779429,0.0,34,JR,3,MISS STATE,0.9583333333333334
BRANDON MILLER,800,3,1,0.9308510638297872,0.983614366009336,0.9618301206150496,0.0146350650904821,0.9630631554733328,0.9550506039382136,0.9737121447541104,0.9618301206150496,0.9810908399847966,0.9340287320658957,0.0198265598656165,0.0293285425862161,0.0,26,SO,2,TEXAS A&M,0.9166666666666666
JASON GOMEZ,800,4,1,0.734352773826458,0.970942260673312,0.9189832147663012,0.0519789353943772,0.932532514450867,0.9029296020988196,0.956638562030946,0.9189832147663012,0.9647729396374508,0.7933123664416617,0.0486153420272625,0.1467863956478626,0.131578947368421,38,JR,3,IOWA STATE,0.875
SEAN DOLAN,800,5,1,0.9319433161837712,0.9705771761609324,0.9545273382802816,0.0101456862868599,0.9552225324721572,0.9508901317717896,0.9605548695304656,0.9545273382802816,0.9616280152742852,0.9417203005353808,0.0074113792295925,0.0135077692203744,0.0,12,JR,3,VILLANOVA,0.8333333333333334
DAYTON CARLSON,800,6,1,0.9094512463665992,0.967485007496252,0.9467761172329484,0.0165872636633026,0.9476824949838678,0.945189487329848,0.9570398086672336,0.9467761172329484,0.9578810650338622,0.9281760289194296,0.011660836295692,0.0198406005739277,0.0,10,SO,2,ARIZONA STATE,0.7916666666666666
SAMUEL RODMAN,800,7,1,0.7634011090573013,0.9653141361256544,0.9294973899145744,0.0545529493078195,0.94370660184298,0.9306865118686432,0.956914440996868,0.9294973899145748,0.962255358807083,0.8684254321017955,0.0346323999419525,0.0679361283642721,0.0,12,SO,2,PRINCETON,0.75
JONATHAN SCHWIND,800,8,1,0.9174515727741248,0.9703947368421052,0.9412424941754384,0.0123657555183258,0.9427077122784076,0.9365291744419104,0.9475521157930736,0.9412424941754384,0.9584145549057832,0.9183226920396588,0.0180791166896679,0.0246507111508466,0.0285714285714285,35,SR,4,LIPSCOMB,0.7083333333333333
YUSUF BIZIMANA,800,9,0,0.9290084578009716,0.9671225177969278,0.953006756231019,0.011340817836886,0.9552224997687112,0.9465531875138732,0.9628836553891366,0.953006756231019,0.9658559401309634,0.9330193431991862,0.0133924995512242,0.0211952666380081,0.0416666666666666,24,SO,2,TEXAS,0.6666666666666667
LORENZ HERRMANN,800,10,0,0.904670113029002,0.9658559401309634,0.9345660338638276,0.0194192614976306,0.9323640960809102,0.9201498362035194,0.95135014794812,0.9345660338638276,0.9605544701832728,0.907913433499624,0.0274266847558725,0.0289312318930132,0.05,20,SO,2,IDAHO,0.625
SEBASTIAN FERNANDEZ,800,11,0,0.9173700577521102,0.9646827992151732,0.9484511554458273,0.0189076190977874,0.958237327466786,0.9389481779955676,0.959305051318406,0.9484511554458273,0.959037711313394,0.9358640858309952,0.0110999923009282,0.0133598342136244,0.0,6,FR,1,BYU,0.5833333333333333
CLAYBORN PENDER,800,12,0,0.9015892420537897,0.9675756723830944,0.9321306188148004,0.0184211445007467,0.9346428894722548,0.9172923871832268,0.9457303829796032,0.9321306188148004,0.9559300064808814,0.9034067089382396,0.0252104062202491,0.0312975491615016,0.0,23,SR,4,GEORGIA,0.5416666666666667
BAYLOR FRANKLIN,800,13,0,0.8783496384517226,0.966488814003557,0.9397788766459636,0.023259946266431,0.950824201123492,0.9305155010814709,0.9559300064808814,0.9397788766459636,0.9600185960018596,0.8937430509061141,0.0213072389528838,0.0502157351358341,0.1666666666666666,30,SR,4,OLE MISS,0.5
TIM ZEPF,800,14,0,0.845756880733945,0.960822631676903,0.9275138227290022,0.0265566724160604,0.9334599041677968,0.9172070711557254,0.9456860230811504,0.9275138227290024,0.9578810650338622,0.8594048883206233,0.0322131374196016,0.0762305906667374,0.0238095238095238,42,SR,4,NOTRE DAME,0.45833333333333337
AYMAN ZAHAFI,800,15,0,0.8926255727500648,0.966850828729282,0.9368552869777176,0.0178220895278987,0.9367628379604428,0.9245992656935612,0.9527544523392082,0.9368552869777176,0.9614489244808642,0.9012376776024742,0.0259111657180066,0.0387549596909296,0.0465116279069767,43,SR,4,MIAMI,0.41666666666666663
MILES BROWN,800,16,0,0.9194941668893044,0.9616280152742852,0.9406258036445028,0.015985433298045,0.9443885484313548,0.9249549682292793,0.9541484081145132,0.9406258036445028,0.9556645686782674,0.9204248618130711,0.0158612470466151,0.0217091798803497,0.0909090909090909,11,FR,1,MICHIGAN,0.375
COLLIN EBLING,800,17,0,0.8744812399424071,0.957081942899518,0.9160685742332492,0.0258552766985793,0.9123097394219342,0.8907004830917874,0.9357957681407476,0.9160685742332492,0.9558415108313274,0.8786052936128522,0.0424944947040083,0.0417494022636646,0.0,32,JR,3,DUQUESNE,0.33333333333333337
